"node","term","estimate","std_error"
"mRS_pre","Age.Age",0.0804717736002368,0.00523324218868407
"NIHSSa","Age",-0.0787691525233434,0.00477680688742041
"NIHSSa","mRS_pre1",-0.433404341158642,0.133123337519073
"NIHSSa","mRS_pre2",-0.450989994162953,0.156139094605688
"NIHSSa","mRS_pre3",-0.567377341816931,0.177281911928649
"NIHSSa","mRS_pre4",-1.32183467490247,0.253806296380727
"NIHSSa","mRS_pre5",-1.89323421670248,0.478864438296301
"T","(Intercept)",6.96077392210227,0.547181277278912
"T","Age",-0.0724342980277193,0.00789224655016666
"T","mRS_pre1",-0.066111846486342,0.18524136967515
"T","mRS_pre2",-0.232068126289408,0.208961339459719
"T","mRS_pre3",-0.13322951053117,0.240754853643529
"T","mRS_pre4",-0.265317947176895,0.327397548201682
"T","mRS_pre5",-0.254380070209398,0.618651051831382
"T","NIHSSa",-0.0211834764105738,0.0101261218114789
"mRS_3m","Age",0.0684878029891959,0.00583813138219689
"mRS_3m","mRS_pre1",0.374354977249195,0.139456579190268
"mRS_3m","mRS_pre2",0.680317577290457,0.167745456194771
"mRS_3m","mRS_pre3",0.868167787678335,0.197422967983923
"mRS_3m","mRS_pre4",2.11421224441925,0.390724141690898
"mRS_3m","mRS_pre5",1.80659356634188,0.831216368922149
"mRS_3m","NIHSSa",0.16316754147608,0.00922969646701279
"mRS_3m","T",-0.582322683090439,0.133312868170566
